pp,ui,cg,des
"Should Islamic Apps request and collect any of the following permissions or sensitive user data: microphone, camera, accounts, contacts, or phone, the data will be handled securely",Quran Mp3 Ringtones Set as ringtone Set as notification Set as contact ringtone Set as alarm tone Ad Get more apps Share this super cool app Privacy Policy ,get stream get contact photo stream get stream content set ringtone for contact,"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts"
Read contacts to Retrieval of data for displaying the upcoming birthdays of your contacts.,Settings ,get contact create birthday notification ,"READ_CONTACTS  to  read  your  contacts, Home  screen  widget  displaying  the  upcoming  birthday  and  anniversary  dates  of  your  contacts"
Our service also need access to your device contact to add people from your device address book to skype contact list,video chat call select contact share,start call invite get contact ,"Simply  tap  on  the  call  tab  on  Skype  Lite,  and  start  the  group  call  with  your  friends  on  Skype  Lite.  You  can  also  share  a  Skype  Lite  group  call  link  with  your  friends  on  popular  social  apps  like  WhatsApp,  Facebook  Messenger  or  SMS,  and  invite  them  to  join  the  call."
The ContactsPoint App provides a way for users to import their contacts from an old mobile phone into the Smartphone where the App is installed and used.,Import Contacts Contact transfered from your old device,process queue save contact run ,This  application  allows  you  to  transfer  within  a  few  seconds  all  your  contacts  to  your  new  phone.
"For a better experience while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to address camera, location contacts and storage. ",Contact Generate QR Code ,click launch contact activity create qr,"Barcode  and  QR  scanner  can  scan  and  read  all  QR  /  barcode  types  including  contact,  email,  and  many  other  formats."
The numbers to be contacted are downloaded to the phone and dialed using the native dialer.,Name Telephone ,start activity result click get contact info,"Activate  your  astDial  account,  upload  contact  on  cloud"
"The App ?€?SWYNC?€? (hereafter ?€?App?€?) is a platform for the synchronization of contact data of users. The regular updating of his/her data is the only task the user has to do; the App synchronizes them with the data of the other users in the user?€?s address book. In order to guarantee the functioning of the App, it is indispensable that the App gets access to contact data/address book of the user?€?s device and that the users keep their data up??to??date.",Loading contacts Add Contacts ,get contact information get contact id modify contact delete contact insert new contact,"The  phonebook  Contacts  App  helps  you  to  modify, delete and insert contact."
"VshGap can optionally discover which contacts in your address book are VshGap users, using a service designed to protect the privacy of your contacts. Information from the contacts on your device may be cryptographically hashed and transmitted to the server in order to determine which of your contacts are registered.",Create Group Add Select Contacts Start Group Chat Invite Contacts Share with Contacts,load resource get contact open contact photo input stream ,"You  can  send  an  unlimited  amount  of  messages,  photos,  videos  and  files  of  any  type  to your contacts and have group chat with up to 200 contacts at a time."
"Contacts: Some of our App(s) uses this permission to provide some functionalities such as view or edit existing contact(s), add new contact(s) or delete contact(s) as per your action taken from our App(s).",Contact Details Name Address Phone Number Share Contact Add Favourite Contact ,click activity result get contact data get contact details get name get address get phone number set click listener click share contact set click listener click add favorite,This  app  uses  Read/Write  Contacts  permission  to  read  contacts  per  your  action  taken.
"Contacts: Some of our App(s) uses this permission to provide some functionalities such as view or edit existing contact(s), add new contact(s) or delete contact(s) as per your action taken from our App(s).",No Contacts Found Click on + button to add contacts ,set click listener click add contact append update set text get content resolver ignore case value ,This  app  uses  Read/Write  Contacts  permission  to add/delete  contacts  as  per  your  action  taken.
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning the ringtone to desired contact",Set ringtones for contacts Select Contacts Save,click set ringtone assign contact get contact by name,"READ_CONTACTS,  WRITE_CONTACTS:  for  internal  use  for  the  purpose  of  assigning  the  ringtone  to  desired  contact"
"We may request access or permission to certain features from your mobile device, including your mobile device?€?s contacts, and other features.",create contact csv file update import contact from file,start call resume start next selected call update list view selection post execute post execute start task handle result post execute start next call get selected contact call context item selected handle call record result get post execute set current call ,You  can  import  thousands  of  contacts  into  separate  groups  from  a  spreadsheet  (CSV)  in  seconds.  The  contacts  are  synced  real-time  from  your  computer  with  your  Android  app.
This app(Multilanguage Keymap Redefiner) use ?€?android.permission.READ_CONTACTS?€? permission. This permission needed for autocompletion when you are using on screen keyboard.,Use names from Contacts for suggestions and corrections,get contact info get contact name,READ_CONTACT  permission  needed  for  autocompletion  when  you  are  using  on  screen  keyboard.
"Contact Permission: Access to get contacts id. Through contacts id, one can set Contact image URI(Uniform Resource Identifier) and set Ringtone audio URI Directly from application.",Backup Contact List Restore ,get photo background execute background click fetch contact id phone number get photo ,"Recover  Deleted  All  Photos,  Files  And  Contacts."
"Should Customize My Phone request and collect any of the following permissions or sensitive user data: microphone, camera, accounts, contacts, or phone",Horror Ringtones Scary Sounds Set as ringtone Set as contact ringtone Set as notification Set as alarm tone Share this super cool app Get more apps ,get stream get contact photo stream get stream content assign ringtone contact save update,"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts"
"AHS Studio may ask its users to allow access to various features of their smartphones such as camera, microphone, contacts and location solely for the purposes of aligning with the features of our services and products.",Add To Favorite Cancel ,set click listener execute click get contact list add to favorite,You  may  create  favorite  contact  list  for  privacy  or  may  put  contact  list  in  the  privacy  to  secure  your  contact  while  ring.
Need personal data such as contact permission,Contact info on your device ,set click listener get account get detailed contact list click get background get contact cursor get contact cursor execute open account file update data bound share click ,Edit  contacts  and  add  notes  to  the  people  you  meet.
"Our application get user's family/friends phone number and save into the application, Which means it makes the user to enter the individual contact to store in the application",Select Contact Show Contact Numbers,activity result get contact details get contact number display,Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app.
"The Application requires permission to get user contact list to share resources (people and their info, ex. phone) among projects.",Share Choose a Contact Choose a Phone Number,click share get contact open input stream,PERMISSION  for  reading  contacts: It  allows  you  to  share  the  same  resources  accross  multiple  projects.
"This type of service makes it possible to manage a database of email contacts, phone contacts or any other contact information to communicate with the User.",Import Contacts,activity result set click listener click get contact details,Import  persons  from  your  contacts  or  a  Google  spreadsheet
We Read your contacts: Revolutionx Apps does not save or upload your contacts.,Announce Caller Name Announce Sms Sender Name Announce Sms Content Volume Languages Settings Do not annpuncer list More apps Rate us ,retrieve contact number activity result get contact name announce receive get stream get contact photo stream get stream content ,You  can  create  list  from  your  contacts  to  exclude  them  from  caller  name  announcement. Calling  person  name  if  exists  in  your  contacts.
Accessing device contacts to use the function of importing phone contacts and saving card to contacts,Contact Info Company Info More Loading?€? ,save phone click replace cam card system contact save account get provider execute system v card entry background save get device account type click get device id,"Easily  export  contacts  to  Salesforce,  SugarCRM  or  save  as  Excel  files"
"With your permission, we may also access other personal information on your device, such as your phone book or calendar, in order to provide services to you.",New phone number Add new contact Ignore ,show contact list get contact add new contact update append set text set get content resolver,"CREAM  assistant  is  also  a  base  of  your  contacts,  which  can  be  quickly  created  and  organized."
We request access to your contacts to display a local contact list inside the Teo Softphone,select contact assign ringtone,get list phone number get ringtone get phone number get data cursor get contact save,Set ringtones avatars for your contacts.
Some of our applications may use this permission to read your contact information when you request. We do not collect or share this information. We use this permission to announce caller name or to display dialed / received calls / missed calls when you request.,Recover Deleted Contacts Click Contact To Restore ,click restore item selected show get item selected restore menu item click restore contact item,"This  application  can  restore  all  your  MANUALLY  deleted  Contacts, and synchronize  your  all  contacts"
"Interactions that you have with other users or content on the Service, and When you give us authorization, contact information of your friends from your mobile or tablet devices to connect your contacts and address book information with your Tinker account. If you choose to use the Service to invite one of your contacts to use the Service, we will send your friend an email or SMS inviting them to visit the Service.",Please grant Tinker permission to access contacts on your phone. GRANT PERMISSION No Contact ,get contact get input stream load ,"Easy  to  use;  syncs  with  contacts  and  you?€?re  ready  to  go, add  your  favorite  contacts  in  app  home  screen  to  make  the  call  within  a  couple  of  touches."
android.permission.READ_CONTACTS  (read phone contacts)    necessary to be able to make phone calls from the application,All Contact Sim Card Contact Save Exported Contact,set click listener click start get phone contact run background,this app need to read contacts from the device.
Reasons to request contact permissions is required to read and transfer contact data via Bluetooth.,Backup Contact Select Contacts,run bluetooth get contact,READ  /  WRITE  CONTACTS:  Required  to  display  and  read/write  contact  information.
the App may access your saved contacts only for purposes required for the proper functionality of the App such as matching incoming calls and filtering out already known callers from the App?€?s main screen.,No Contact Found,receive get contact name ,this app requires read contacts.
the App may access your saved contacts only for purposes required for the proper functionality of the App such as matching incoming calls and filtering out already known callers from the App?€?s main screen.,Create New Contact Save Contact Edit Cancel,selection parse build run get header field get value append get default start insert path size add create contact append send data,this app need write contact permission to create new contacts.
"We may also collect information about others if you use our Services to upload, share and/or distribute Content that contains information about them, including their name, image and online contact information.",Recover Deleted Contacts ,choose activity click add historical record persist historical data background background execute executor ,Contact  Recovery  can  restore  your  deleted  contacts  from  your  internal  phone  database  and  restore  them  in  the  original  Contact  thread
android.permission.READ_CONTACTS : To make a QR code for your contact.,ADDRESSBOOK Select from your contacts PHONE Create for phone number EMAIL Create for email address LOCATION Create QR for location URL Create QR for web URL TEXT Create QR for text contents APPLICATION QR for installed applications ,click start activity put extra set type add ,"QR  and  Barcode  Scanner  can  scan  and  read  all  QR  /  Barcode  types  including  text,  url,  ISBN,  product,  contact,  calendar,  email,  location,  Wi-Fi  and  many  other  formats."
Read Contacts - To load/show contacts for the purpose of setting ringtone for individual contacts. Write Contacts - To set ringtones for contacts.,assign ringtone to contact,click assign contact create cursor text get contact content,read  &  write  contacts-  to  assign  ringtone  for  a  specific  contact.
"Should High Quality Applications request and collect any of the following permissions or sensitive user data: microphone, camera, accounts, contacts, or phone",Top Ringtones Set as ringtone Set as contact ringtone Set as notification Set as alarm tone Share this super cool app Get more apps ,get stream get contact photo stream get stream content ,Assign  different  ?€?ringtones  and  notifications?€?  to  specific  contacts  from  your  phonebook
Contacts- the app may require access to your phone book to automatically fill in some required information for the QR code. ,Password create Create Owner details* Owner details Emergency contact* Emergency contact Health care proxy Health care proxy: Health information Health information ,share result get contact data address book get owner data address book.,"Share  the  name  and  contact  details  of  the  phone  owner,  and  the  emergency  contact  details"
"Read Contacts of User. In order to connect you with your friends already using VoMail , access to your contact list on this phone will be necessary.VoMail will not share this list with anyone.Your contacts will be periodically accessed for any new additions in the contact and sync your friends with VoMail services. ",Find from contact book,check permission get contact list get contact data,We  ask  permission  to  access  your  contact  list  so  that  you  will  know  who  among  your  friends  is  also  using  the  app.
You may also ask us to import your contacts by giving us access to your Device(s),Select contacts to share Call Log is shared.,load resource backup contact load resource update contact load resource open contact photo input stream.,"To  read/write  Call  Logs  and  Contacts  is  required  to  backup,  access,  and  restore  your  call  history  and  contacts."
"Read contacts: The App makes use of this permission in order to fetch contact data, including, but not limited to, the name or birthdate of the contacts. This information is used to show to the final user birthdate related information about their contacts. In any case this information is saved or sent by The App.",Add Contact Update Contact Edit Contact,get data get contact data,"This  application  uses  the  data  of  your  contacts  on  your  phone,  keep  all  your  data  if  you  change  your  device!"
Permission to access contact information is used when any of the apps need to look up a contact to identify the caller.,Speak name for contacts,get contact name receive ,Settings  for  enabling  or  disabling  telling  names  of  contacts  or  unknown  numbers  both  for  call  and  message
"See, edit, download, and permanently delete your contacts"" - in case you want to synchronize EssentialPIM Contacts with Google Contacts",List is empty. Create new,click update contact data import c v click notify data set handle message edit start delete contact data update activity open photo create contact data run process next message process edit send message ,It  allows  you  to  manage Contacts. Wide  selection  of  fields  and  unlimited  number  of  contact  groups  that  can  be  organized  hierarchically.
"Should My Ringtones and Sounds request and collect any of the following permissions or sensitive user data: microphone, camera, accounts, contacts, or phone",select contact choose Ringtones set cancel,activity result assign ringtone select contact,"Set  as  a  default  ringtone,  contact  tone,  SMS  notification  or  alarm  clock  sound"
Blue Ray does not save or upload your contacts. Permission to access contact information is used when you search contacts in Blue Ray search bar.,Select Contact Call Send SMS,click get contact list,"This  App  uses  permissions  of  usage  access,  read  contacts  for  secure  the  call  and  read  phone  state  for  call."
"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to android.permission.READ_CONTACTS.",SMS template Edit Edit template E-mail template Share template Share type Sharing Share type ,click get contact send sms send email share,"You  can  send  SMS,  Email  with  preselected  contact  person/persons  or  share  as  text  with  other  applications  installed  on  device."
The Epic Data App will quietly and  automatically update your contact database on changes to your friends?€? contact  data.,"1 START: IN YOUR OLD PHONE Enter an Email Address and Password below, then click the ""OLD PHONE"" button OLD PHONE 2 FINIAH: IN YOUR NEW PHONE Re-enter your Email Address and Password above, then click the ""NEW PHONE"" button NEW PHONE Forgot Password * This app can transfer contact data",add update contact add contact group get group id run,"we  upload  your  contacts  to  your  own  password  protected  cloud  account The  Epic  Contact  App  allows  you  to  instantly  update  any  single  contact,  or  all  of  them  as  a  group,  with  any  changes  to  your  contact  data  you  choose  to  make"
Contact Permission is only required to display Contact Name in SMS and Call Log and to convert them into PDF.,"Generated PDF will include number of SMS being sent/received on daily basis. ""You can easily print Call Log SMS Chat of any contact from 'Specific Contact Log' Export to PDF Select any contact to generate PDF",execute executor background fetch background validation button verify get contact name number temp get call log data ,"E2PDF  allows  backup  of  sms,  contact, select  any  contact  and  get  PDF  backup  of  Call  Log  and  detailed  SMS  conversation/  SMS  chat  of  your  loved  ones."
"We may only use contact information of your address book, if you agree to provide it to us, for the limited purpose of sending them an invitation to use the Service or other products of our company",Select Contacts Import,set click listener execute parallel add record execute click get contact save b show show background click persist historical data ,Share  business  contacts and Import or Export  business  contacts
"With your permission, we may also access other personal information on your device, such as your phone book, calendar or messages, in order to provide services to you.",contact information name company email number back,decode stream decode get input stream get contact,Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app.
"Should Ringtones And Sounds request and collect any of the following permissions or sensitive user data: microphone, camera, accounts, contacts, or phone",Amazing Ringtones 2017 Set as ringtone Set as contact ringtone Set as notification Set as alarm tone Share this super cool app Get more apps ,get stream get contact photo stream get stream content assign ringtone contact save update,assign  the  ring  tones  to  your  contacts
Permission to access contact information is used when you search contacts in LASHPASH APPS search bar.,Show Contact List Select Contact Unknown Contact,main method activity result get contact,This  App  uses  permissions  of  read  contacts.
"""Contacts Transfer"" app uses permission READ_CONTACTS, WRITE_CONTACTS  to write the phone book into android device.",Download the contacts view the contacts,choose contact click execute select contact get contact details click search contact name click delete update,"Press  button  ""View  the  contacts""  to  view  the  list  of  contacts.  You  can  view  all  details  of  a  contact,  search  a  contact  name,  delete  some  not  necessary  contacts"
We ask your permission before syncing your contacts. We store your up-to-date contacts in order to notify you as soon as one of your contacts signs up for Telegram and to properly display names in notifications. We only need the number and name (first and last) for this to work and store no other data about your contacts.,Telegram needs access to your contacts so that you can connect with your friends across all your devices. Your contacts will be continuously synced Delete Contact Block Contact Add Contact,check permission add contact phone book run read phone book delete contact update contact,"You  can  decide  if  to  synchronize  contacts  for  each  account,  and  delete  synchronized  ones  from  Telegram  servers."
CHRIS WILLIAMS APPS does not save or upload your contacts. Permission to access contact information is used when you search contacts in CHRIS WILLIAMS APPS search bar.,enable announcer change annoucement language,main method get contact list get contact details get name get number,Caller  name  speaker  and  announcer  uses  permission  to  read  contacts  for  speaking  the  incoming  caller  name.
The usage of the permission android.permission.READ_CONTACTS is to make a QR code for your contact.,create contact qr code,click open contact system get contact ,Create  QR  from  contacts  or  bookmarks  for  your  friend  to  scan  it  on  their  device
READ_CONTACT: Get the phone number to create QR code with contact,Get Contact READ_CONTACT: Get the phone number to create QR code with contact type,click select contact,Create  QR  from  contacts  or  bookmarks  for  your  friends  to  scan  on  their  device
The Contact Saver Application stores all contact information within the Application or on SD Card for backup purposes. By using the application you adhere to such use of your information.,Save Contact Backup Contact Import Contact Export Contact,click save save contact click backup contact click import contact,"Load, save, delete, backup or retore contacts from phone or SIM card."
"Should Marshmallow Melodies request and collect any of the following permissions or sensitive user data: microphone, camera, accounts, contacts, or phone",Free Music Ringtones Set as ringtone Set as notification Set as contact ringtone Set as alarm tone Get more apps Share this super cool app ,get stream get contact photo stream get stream content ,ASSIGN  DIFFERENT  RINGTONES  TO  SPECIFIC  CONTACTS
"Our apps and games offer social sharing features and other integrated tools, which let you share actions you take in our app or game with other media. The use of such features enables the sharing of information with your friends or the public, depending on the settings you establish with the entity that provides the social sharing feature.",Arabic Ringtones Set as ringtone Set as contact ringtone Set as notification Set as alarm tone Share this super cool app Ad Get more apps Privacy Policy Withdraw Consent ,load resource select ringtone pick contact open contact photo input stream assign ringtone contact,"Set  these  sounds  as  SMS  ringtones,  alarm  sounds,  contact  ringtones  or  notification  sounds"
"If you choose to use the Service to tell a friend about us, we will ask you for and store your friend's email address and/or phone number. We also might ask you to access your phonebook, Facebook, Twitter, Google+, or other social media sites contacts for this purpose.",Please grant Azadi permission to access contacts on your phone. Select Contact No Contact ,get contact list get input stream load,Easy  to  use;  syncs  with  contacts  and  you?€?re  ready  to  go. add  your  favorite  contacts  in  app  home  screen  to  make  the  call  within  a  couple  of  touches.
Some of our applications may use this permission to read your contact information when you request. We do not collect or share this information. We use this permission to announce caller name or to display dialed / received calls / missed calls when you request.,Contact List CONTACT DELETE Restore contact ,recover historical data get contact display contact photo,This  application  allow  you  to  Recover  your  deleted  contacts. Back  up  your  contacts  and  sync  them  across  all  your  devices.
"Should Ringtone Station request and collect any of the following permissions or sensitive user data: microphone, camera, accounts, contacts, or phone",EDM Ringtones DJ Remix select contact save cancel,activity result set click listerner click set ringtone get contact list get content resolver append,"Choose  awesome  sounds  as  dj  beats  for  your  short  message  for  notification  tone,  or  some  long  ringtones  that  you  can  set  as  contact  ringtone."
We need android.permission.RECORD_AUDIO permissions for our functions ?€?Make Photo by sound?€?. This function worked in offline mode. Sound do not saved to files.,Click to start microphone,start resume click microphone set audio source run ,Our app needs access to device microphone.
this app uses your phone's microphone to record the sound of blowing on the microphone.,blow to the microphone,set audio source start blow resume blow,Light  up  the  cigarette  and  start  smoking.  You  need  to  blow  into  the  microphone  to  smoke.
SeaScribe users can allow the app to take photos and record audio. SeaScribe app users must agree to provide the app with access to the device?€?s onboard camera and microphone before initiating use of these optional features. ,record audio,request permission set audio source result resume recording resume recording audio execute prompt record start recording start recording audio,It  features  efficient  data  entry  screens  with  core  data  fields  and  the  ability  to  create  and  use  customized  data  fields.  Digital  photographic  images  and  audio  clips  from  onboard  cameras  and  microphones  can  be  tagged  to  specific  observations  and  locations.
AUDIO RECORD is a necessary permission for recording voices during video recording. It can not be used for any other purpose.,set audio quality start recording end,key run take picture restart video take picture take picture run set audio source,(Some)  external  microphone  support.
Some of our applications require access to microphone in order to perform main functionality and provide a better service,start recording,run set audio source click start recording end recording ,This  application  allows  you  to  record  any  audio  using  the  microphone  of  your  phone.
RECORD_AUDIO Allows the APP to make Recordings using the microphone.,set audio quality start recording end,set audio source click start start recording,Allows  the  APP  to  make  Recordings  using  the  microphone.
ACCESS MICROPHONE Allows the Application to make Recordings using the microphone.,press microphone button to start ,set audio source click start recording pause record ,This app supports voice recording
This application implements camera and microphone function to take photos and videos.,Click to start microphone,set audio source click take picutre click record video take photo start recording,This  application  implements  camera  and  microphone  function  to  take  photos  and  videos.
this app requires access to your device's microphone.,set audio quality start recording end,set audio source set speech recognizer click start recording pause resueme recording end recording conver speech to text,Speech  to  text  is  so  efficient  and  easy.  Simply  click  the  microphone  and  start  recording
this app requires to access microphone.,set audio quality start recording end,request permission save configuration set audio source,"This  app  uses  Administrator  Permissions,  the  features  require  authorization  by  the  user  to  access  the  camera  and  microphone  controls."
RECORD_AUDIO - microphone is used to record Your exercises,you can record your practice with a microphone start pause end replay,start microphone set audio source click start recording audio,"Start  practicing  and  measure  the  duration  with  the  Musician?€?s  diary,  additionally  You  can  record  Your  practice  with  Your  device?€?s  microphone."
This app need access to device microphone.,Blow Bubble Set Microphone Sensitivity,sensor request set audio source ,Blow  into  the  microphone  to  raise  the  bubble. Set  the  microphone  sensitivity  to  your  blows.
Microphone permission only required for gameplay.,start scream,create scene create scene set audio source start ,"Scream  into  your  phone's  microphone  to  make  the  rocket  ""jump""."
"We do not keep a copy of your email address, the photos or the audio files captured through our app. These are discarded immediately once the email is sent.",set audio quality start recording end,set audio source execute handle intent execute background,Record  sound  clip  -  Lockwatch  will  record  a  20  second  audio  clip  using  the  phone's  microphone.  It  does  this  whilst  it  is  taking  photos  and  getting  the  GPS  location.
This app use the AUDIO permission only to record when you want.,set audio quality start recording end,set audio source start set media start recording,"Bluetooth  Recorder  is  the  recorder  you  are  looking  for.  It  allows  you  to  record  in  different  formats  and  extensions  (.3gp,  .mp4,  .m4a,  .amr)  via  bluetooth  and  via  built-in  microphone."
this app needs to access the microphone of your phone not to record or listen to you but to make the realtime echo redirecting microphone input to your speaker.,tap echo to allow microphone,set audio source start ,"Echo  button  grant  access  to  microphone  for  the  echo  function  (since  you  press  echo  camera  button  may  not  work  in  some  models  until  you  restart  the  app,  because  permissions  to  access  microphone  simultaneously  are  disabled  in  some  models  and  android  versions)."
"If this app uses your device sensors or other features like microphone, camera are exclusive for the performance of this app.",set audio quality start recording end,set audio source set recognition listener run start listening stop listening ,"CUSTOM  in  this  option  you  can  create  your  own  card  sets  using  text  notes,  pictures,  videos  and  you  can  use  your  microphone  to  use  your  voice  like  a  card."
In ChimeIn the RECORD_AUDIO permission is used to transmit your voice to other ChimeIn users.,Manage Audience   Quiet Audience Mics   start audio stream,set click listener initialize set speech recognizer fit set speech recognition expand,The  app  streams  audio  over  your  local  network  allowing  anyone  with  a  smartphone  to  use  it  as  a  wireless  microphone.
The application need to access the microphone to detect the blow and display the sound level.,current sound level max sound level min sound level,hold button click set audio source run start recorder ,This  application  allow  you  to  use  the  microphone  of  your  phone  as  a  sound  level  meter.
We request RECORD_AUDIO PERMISSION if the app has a build in audio function or a function which depends on the audio function.,current noise level standard level exit,set audio source measure noise level,Counts  with  microphone  if  the  preset  noise  level  exceeds  the  preset  threshold
We need your Microphone to collect audio information.,Sound Intensity (dB) Sound Intensity vs Time Total:  Pause Data recording paused ,set audio source start recording pause resume end,The  app  has  a  sound  meter  mode  that  analyzes  sound  using  the  microphone.
"If you use the voice recognition feature of the app, the ?€?allow to record audio?€? permission is required so you can speak the commands into the microphone.",start recording convert to text,service connected start recognizer set recognition listener start recognizer start listening,"If  you  use  the  voice  recognition  feature  of  the  app,  the  ""allow  to  record  audio""  permission  is  required  so  you  can  speak  the  commands  into  the  microphone."
record audio is a necessary permission for recording voices during video recording. It can not be used for any other purpose.,set audio quality start recording end,set audio source run take picture start video recording pause resume video recording,(Some)  external  microphone  support.
"Simply, when using the Sound Meter app, use the RECORD AUDIO permission to measure the sound.",start measuring current sound level max sound level min sound level,set audio source start recorder resume ,Smartphones  microphone  to  measure  the  sound  pressure  level.
"When you install an Affiliated Application, you may also grant the mobile application permission to collect certain types of information via a permission screen consent process.",record button,create input view speech recognizer speech recognizer start listening,"Click  on  that  microphone  and  microphone  turns  green When  it  is  green  you  can  start  speaking, In  return  keyboard  will  type  your  voice"
RECORD_AUDIO is needed for you to be able to record the birds and thus be able to recognize them.,Record Play Voice Recognition ,set audio source click start recording,"Not  only  the  local  bird  variations  but  the  microphone  you  use  play  a  large  part  in  identification.  That  said,  by  downloading,  and  defining  the  birds  the  app  will  be  able  to  recognize  many  of  the  birds  that  you  record.  "
"Some of our apps ask for recording permissions, these apps record your voice to change it and generate funny voices, this will generate temporal record of your voice which is stored in your device and it is deleted by the app.",Start recording play recording,click set audio source start recording end recording save file,Tap  the  microphone  button  and  Santa  Claus  repeat  what  you  say.
"While using our App, we ask you to provide us with permission to access device microphone. This is needed for the app to do its work of analizing the environmental??noise.",measuring noise level set threshold,set audio source click start record,vSilencer  uses  your  device  microphone  to  sense  the  environmental  noise  and  alerts  you  when  desired  threshold  level  is  reached...
RECORD AUDIO Allows the Application to record audio from microphone.,start recording end recording,start recording standard recording start  set audio source command end recording,"voice  and  call  recorder  for  Android  devices.  Use  it  for  record  voice  memos,  talks,  music  and  songs  in  high  quality."
"I may require you to provide us with certain personally identifiable information, including but not limited to Recording Audio.",start pause end ,set audio source click start record ,Record  using  your  phone's  microphone
this app utilizes the audio recorder of the Android device only when the user clicks the record button.,start recording,initialize recorder set audio source ,"all  audio  input  comes  from  your  Android  device's  microphone.  So,  avoid  using  headphones  when  recording.  :)"
